CODCAIXA,IDCODMOVCAIXA,DATA,OBS,OPERACAO,CREDITO,DEBITO,CODUSUARIO,CODVENREC,IDREMESSA,MESLCTO,HORA,REG,IDCODDESP,OP_SANGRIA,CODVENDA,CODTIPOVENDA,ID_PROCESSAMENTO,ORIGEM_NUVEM,VALOROPERACAO,OP_ACRESCIMO,OP_DESCONTO,TIPO_LANC,OBSERVACAO
1,170,2023-08-03,000001 - Consumidor,40,0,150,8,86,0,,16:53,,,,,,0,,,,,,
1,171,2023-08-04,Estorno Deposito PIX - CodVenda:000086 -,1,150,0,8,0,0,,16:53,,,,,,0,,,,,,
1,172,2023-08-03,000001 - Consumidor,30,150,0,8,87,0,,16:53,,,,,,0,,,,,,
1,173,2023-08-03,Venda Deposito Bancario,3,0,150,8,87,0,,16:53,,,,,,0,,,,,,
1,174,2023-08-07,000001 - Consumidor,30,1330,0,8,88,0,,16:12,,,,,,0,,,,,,
1,175,2023-08-07,Venda Deposito Bancario,3,0,1330,8,88,0,,16:12,,,,,,0,,,,,,
1,176,2023-08-07,000001 - Consumidor,30,770,0,8,89,0,,16:16,,,,,,0,,,,,,
1,177,2023-08-07,Venda Deposito Bancario,3,0,770,8,89,0,,16:16,,,,,,0,,,,,,
1,178,2023-08-07,000001 - Consumidor,30,6,0,8,90,0,,16:17,,,,,,0,,,,,,
1,179,2023-08-07,Venda Deposito Bancario,3,0,6,8,90,0,,16:17,,,,,,0,,,,,,
1,180,2023-08-07,Emprestimos bancários teste,2,0,2,8,0,,,17:47,,299,,,,,,,,,,
1,181,2023-08-07,**Estorno Pgto Despesa: Emprestimos banc,1,2,0,8,0,0,,17:48,,,,,,0,,,,,,
1,182,2023-08-04,000001 - Consumidor,30,625,0,8,91,0,,13:30,,,,,,0,,,,,,
1,183,2023-08-04,Venda Deposito Bancario,3,0,625,8,91,0,,13:30,,,,,,0,,,,,,
1,184,2023-08-07,000001 - Consumidor,30,1101.3,0,8,92,0,,13:32,,,,,,0,,,,,,
1,185,2023-08-07,Venda Deposito Bancario,3,0,1101.3,8,92,0,,13:32,,,,,,0,,,,,,
1,186,2023-08-08,000001 - Consumidor,30,6818.39,0,8,93,0,,13:34,,,,,,0,,,,,,
1,187,2023-08-08,Venda Deposito Bancario,3,0,6818.39,8,93,0,,13:34,,,,,,0,,,,,,
1,188,2023-08-09,000001 - Consumidor,30,3564.48,0,8,94,0,,08:46,,,,,,0,,,,,,
