CODCOMPRA,ITEM,CODPROD,VALORCOMPRA,VALORVENDA,PRODESP,PRECOCUSTO,VALORTOTAL,DESCONTO,IMPOSTO,FRETE,DESPESA,CREDICMS,MES,LANCADO,DELETADO,CODLANCENT,ESTORNADO,LUCRO,OUTROS,ETIQUETA,PRECOAVISTA,PRECOANTERIOR,DESCAVISTA,IDREMESSA,GRADE,MARGEMLUCRO,IPI,ICMS_ENTRADA,ICMS_SAIDA,SIT_TRIBUTARIA,BASEICMS,BASEICMS_SUB,VALICMS_SUB,NCM,ICMS_GARANTIDO,VALORICMS,CFOP,REG50_OUTRAS,REG50_ISENTA,PIS_VBC,PIS_PPIS,COFINS_VBC,COFINS_PCOFINS,ICMS_PRED_BC,ICMSSN,MODBCST,PMVAST,PREDBCST,PCREDSN,VBCSTRET,VICMSSTRET,MODBC_ICMS,PICMSST,ICMSSUB_PREDBCST,PIS_BASE,COFINS_BASE,PIS_CST,COFINS_CST,IND_MOVFISICA,CUSTOMEDIO,QUANT_SEG,QUANTIDADE,CUSTO_ICMSSUB,BONIFICACAO,MARGEM_LUCRO,CUSTOS_VARIAVEIS,PERCCUSTOS_VARIAVEL,VBCUFDEST,PFCPUFDEST,PICMSUFDEST,PICMSINTER,PICMSINTERPART,VFCPUFDEST,VICMSUFDEST,VICMSUFREMET,FUNRURAL,PRECO_ALTERADO,ORIGEM_MERCADORIA,QUANTCOMP,LOTE,FCPOBREZA,DESOSSA,ICMS_OP,V_ICMS_DIF,C_BENIFIC,PDIF,UNID_FOR,QUANT_CAIXA,USARUNID_FOR
58,1,000004,1483.05,1483.05,,1483.05,1483.05,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2,000006,2202.46,2202.46,,2202.46,2202.46,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,000004,1276.5,1276.5,,1276.5,1276.5,0,0,0,0,0,06/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,000004,1210.85,1210.85,,1210.85,1210.85,0,0,0,0,0,06/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,000003,2529.44,2529.44,,2529.44,2529.44,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,000004,255.4,255.4,,255.4,255.4,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,000004,706.25,706.25,,706.25,706.25,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,000006,580,580,,580,580,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,000004,1919,1919,,1919,1919,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,000006,2400,2400,,2400,2400,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,000004,655.39,655.39,,655.39,655.39,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,000006,3344.65,3344.65,,3344.65,3344.65,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,000003,1336.67,1336.67,,1336.67,1336.67,0,0,0,0,0,07/2023,0,0,,0,0,0,0,,,,,,0,0,0,0,41,0,0,0,,0,0,5933,0,0,0,0,0,0,0,,,,,,,,,,,0,0,99,99,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
